model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
XGBoost_log1p,UnifiedSchoolDistrict,Konocti Unified,14.0,0.8720773498397464,42488.35928571429,57716.423994065226,12.14262869380494,11.70174219178082
XGBoost_log1p,UnifiedSchoolDistrict,La Canada Unified,15.0,0.8731277057924267,398522.2666666666,505324.15722178697,11.934533164793931,12.07801030927835
XGBoost_log1p,UnifiedSchoolDistrict,Laguna Beach Unified,16.0,0.4596453688079808,473686.79375000007,622010.9826465923,19.52918428026202,11.905707450980392
XGBoost_log1p,UnifiedSchoolDistrict,Lake Elsinore Unified,101.0,0.6054885979031669,59025.78465346536,108384.47724875611,8.940154670318,4.96777014925374
XGBoost_log1p,UnifiedSchoolDistrict,Las Virgenes Unified,48.0,0.7775547977916473,395931.2179166667,673312.4701333061,15.506401716125234,11.846972952110221
XGBoost_log1p,UnifiedSchoolDistrict,Livermore Valley Joint Unified,59.0,0.8777250327075166,108205.40237288136,155794.4748350443,7.8069934054838175,6.545738916256165
XGBoost_log1p,UnifiedSchoolDistrict,Lompoc Unified,14.0,0.7528239156761999,60010.99785714286,75534.08908449025,7.817808080691499,7.030757120182038
XGBoost_log1p,UnifiedSchoolDistrict,Long Beach Unified,163.0,0.7535720786382312,138054.9393865031,308751.4269171834,10.321984209369585,8.352986577181207
XGBoost_log1p,UnifiedSchoolDistrict,Los Alamitos Unified,21.0,0.8412719534579824,218270.15238095238,289884.6434461162,10.615846606718305,9.103415384615388
XGBoost_log1p,UnifiedSchoolDistrict,Los Angeles Unified,1242.0,0.8807955464069824,220235.588510467,387637.71779354865,13.092073229424015,10.25435676595745
XGBoost_log1p,UnifiedSchoolDistrict,Los Banos Unified,10.0,0.8631710626663814,21778.10799999999,27663.399659839342,5.1077905883338905,3.282676579310338
XGBoost_log1p,UnifiedSchoolDistrict,Lucia Mar Unified,58.0,0.8906383144558598,129369.5496551724,185655.75391932373,10.893910465153665,9.21473760456648
XGBoost_log1p,UnifiedSchoolDistrict,Manhattan Beach Unified,20.0,0.7555146521282994,669017.225,1065755.8802034922,14.518633567030651,10.13815127771701
XGBoost_log1p,UnifiedSchoolDistrict,Manteca Unified,10.0,0.6315956085894621,59323.59499999999,79310.2816849917,10.027151666670857,8.713977296008473
